question,answer,image_id
lo que está en el lado izquierdo del horno blanco en el suelo y en el lado derecho del sillón azul,cubo_de_basura,image1
lo que está en el lado izquierdo del extintor y en el lado derecho de la silla,mesa,image1
Qué hay entre los dos contenedores de basura blanco y negro,silla,image1
Cuántos objetos hay entre el extintor de incendios y el horno blanco en el suelo,3,image1
Cuál es el objeto más grande en esta imagen,lavadora,image1
Cuántas botellas de plástico hay entre la nevera blanca y el horno,5,image2
Qué hay debajo del gabinete blanco en el lado derecho del horno y y en el lado izquierdo de la nevera,fregadero,image2
Qué hay al lado izquierdo del fregadero blanco y debajo del gabinete,microondas,image2
Cuántos objetos blancos hay en esta imagen,9,image2
Qué hay debajo de la sartén,horno,image2
Qué hay a la derecha del teléfono negro y a la izquierda de la silla roja,escritorio,image3
Qué hay delante de la puerta blanca en el lado izquierdo del escritorio,teléfono,image3
Qué hay en el escritorio,"libro, tijeras, papeles, dispensador_de_cinta",image3
Cuál es el objeto marrón más grande,cartón,image3
De qué color es la silla delante de la pared blanca,rojo,image3
Qué hay en el lado derecho del cuaderno en el escritorio,taza_de_café_plástico,image4
lo que está a la derecha y a la izquierda y delante de los papeles en el escritorio,cuaderno,image4
Qué hay en el escritorio y detrás de la taza negra,botella,image4
Cuántas botellas hay en el escritorio,11,image4
Qué hay delante de los papeles y el cuaderno y las botellas,silla,image4
lo que está en el lado izquierdo del gabinete y en el lado derecho de la silla,pizarra,image5
lo que está delante de la puerta y a la derecha de la mesa,silla,image5
Cuántas sillas hay en el lado derecho de la mesa,3,image5
lo que hay detrás de la pizarra y delante de la pared,sillas_apiladas,image5
lo que está delante del tablero blanco o delante de la puerta,"mesa, silla",image5
lo que está delante de las sillas apiladas y en el lado izquierdo de la mesa,escalera,image6
Cuántos sillones de color azul oscuro hay en esta foto,8,image6
Qué hay delante del monitor,teclado,image6
De qué color es la silla delante de la pared al lado izquierdo de las sillas apiladas,azul,image6
lo que está frente a la pared negra en el lado derecho de la pantalla del proyector,monitor,image7
De qué color es la escalera entre la pantalla del proyector y las sillas,rojo,image7
Cuántos monitores hay en esta imagen,3,image7
De qué color es la pared detrás de la pantalla del proyector,negro,image7
lo que está en la pared debajo del reloj en el lado izquierdo de la cortina verde y en el lado derecho de la puerta gris,teléfono,image8
De qué color es el contenedor de basura delante de la puerta gris del lado izquierdo del extintor de incendios,azul,image8
Cuántos objetos rojos hay en esta imagen,1,image8
Qué hay en la pared al lado izquierdo de la cortina verde pero no detrás del contenedor de basura,"reloj, teléfono",image8
Cuál es el objeto más grande de este cuadro,puerta,image8
De qué color es el objeto rojo frente a la pared del lado izquierdo del escritorio,bandeja_papel,image9
Qué hay encima del escritorio en frente de la tijeras,perforadora,image9
Cuál es el objeto azul más grande en esta imagen,cubo_de_basura,image9
"Qué hay en la pared al lado izquierdo de la puerta, sobre el escritorio",certificado_enmarcado,image9
Qué hay en el suelo en el lado derecho de la imagen10 detrás del marco de la puerta en el frente del gabinete,cubo_de_basura,image10
Cuántos objetos azules hay en esta imagen en la parte superior del gabinete blanco no en el suelo,1,image10
Cuál es el objeto blanco más grande en el lado izquierdo de la imagen,impresora,image10
Qué hay entre el portapapeles y el dispensador de cinta debajo del estante de papel blanco,perforadora,image11
Cuál es el objeto azul en el soporte negro de la pluma,tijera,image11
De qué color es el fax debajo del estante de papel delante de la pared en la parte superior del gabinete,blanco,image11
cuántos objetos azules hay en la parte superior del gabinete pero no debajo del dispensador de cinta o en el soporte del bolígrafo,1,image11
Cuál es el objeto negro entre la pared blanca y el casillero gris,cubo_de_basura,image12
lo que está en el lado derecho de la pared en la parte superior del gabinete en el lado izquierdo del perforador de agujeros,portapapeles,image12
De qué color es el dispensador de cinta en el lado derecho del perforador de agujeros delante de la pared,gris,image12
Cuántos ventiladores de mesa hay en esta foto,1,image13
Cuál es el objeto blanco y negro en la puerta del gabinete entre las fotos,reloj,image13
lo que está en el frente de la ventana en el lado izquierdo de la bobina del ventilador en el lado derecho de la pared,planta_ornamental,image14
De qué color es la planta ornamental en el frente de la bobina del ventilador pero no cerca del sofá,rojo,image14
Cuál es el objeto verde claro más grande en esta imagen,sofá,image14
Qué hay en el frente de la pared blanca debajo de la imagen colorida pero no cerca de la ventana,sofá,image14
Cuántas plantas ornamentales hay en esta imagen,3,image14
Cuál es el objeto rojo en la pared al lado izquierdo del pasillo,extintor,image15
lo que está en la pared en el lado izquierdo de la puerta y en el lado derecho de la imagen,alarma_incendios,image15
De qué color es la puerta del lado derecho del pasillo,marrón,image15
Cuántas lámparas de techo hay encendidas en el pasillo,1,image15
Cuál es el objeto negro más pequeño en la mesa debajo de la estantería,dispensador_de_cinta,image16
Cuál es el objeto blanco en la mesa en el lado derecho de la pared debajo de la estantería,impresora,image16
lo que está delante de la pared en el lado izquierdo de la imagen,escalera,image16
De qué color es la mesa debajo de la impresora pero no debajo del dispensador de cinta o bandeja de papel,marrón,image16
Qué hay en el lado derecho de la mesa marrón y en el lado izquierdo del marco de la puerta en frente de la pared,escalera,image17
Cuál es el objeto marrón sobre el armario de archivos,estantería,image17
Qué hay en el lado derecho de la escalera,puerta,image18
Cuántas escaleras hay en esta foto,1,image18
Cuántas sillas hay alrededor de la mesa de conferencias,6,image19
lo que ha sido montado en el techo entre dos luces de techo,proyector,image19
De qué color es la silla delante de la pared en el lado derecho de la puerta detrás de la silla negra,rosa,image19
Qué hay en la parte superior de la caja del ordenador en el lado derecho de la imagen,módem,image20
De qué color es la mesa debajo de la caja del ordenador frente a la pared,marrón,image20
Cuántos papeles hay en la pared del lado izquierdo del módem,1,image20
lo que está en el lado derecho de la puerta y en el lado izquierdo del sillón en la pared,dispensador_de_agua,image21
lo que está en el lado derecho de la agua azul carboy y en el lado izquierdo de los cables negros,cable_teléfono,image21
Qué hay en la mesa del lado derecho del sillón en frente de la pared,dispensador_desinfectante_manos,image21
Cuál es el objeto azul más grande en esta imagen,garrafa_de_agua,image21
Cuál es el objeto marrón en el escritorio en el lado izquierdo del papel en el frente de la silla de ordenador,bandeja_papel,image22
De qué color es el contenedor de basura en el piso al lado izquierdo del escritorio,morado,image22
lo que está entre la silla de ordenador y el sofá y en el lado derecho de la columna,divisor_de_pared,image22
De qué color es el portapapel del lado derecho de la botella de spray de agua,negro,image22
Cuántos dispensadores de cinta hay en el escritorio,1,image22
Qué hay en la parte superior derecha del reloj en la pared,certificado_enmarcado,image23
Cuántos ganchos colgantes hay en la pared en el lado izquierdo del tablero marrón debajo de la alarma de incendio roja,3,image23
